iotaid, islandname
"NA-165", "Baja California Sur State North East group",
"NA-166", "Sonora State South group",
"NA-167", "Sonora State North group",
"NA-168", "Louisiana State South East (Lafourche to Plaquemines Parish) group",
"NA-169", "Washington State West group",
"NA-170", "San Blas Province group",
"NA-171", "Sinaloa State group",
"NA-172", "North Slope County North group",
"NA-173", "Nunavut (Hudson Bay - Quebec Coast) South group",
"NA-174", "Nunavut (Foxe Basin) group",
"NA-175", "Nunavut (Kitikmeot Region) West Centre group",
"NA-176", "Quebec Province (St Lawrence Gulf) Centre group",
"NA-177", "Quebec Province (Gaspe Peninsula) group",
"NA-178", "California State Centre (Sonoma to Santa Cruz County) group",
"NA-179", "Guadalupe Island",
"NA-180", "Stann Creek / Toledo District group",
"NA-181", "British Columbia Province (Estevan Group)",
"NA-182", "NWT (Inuvik Region) East group",
"NA-183", "Guerrero State group",
"NA-184", "California State North (Del Norte to Mendocino County) group",
"NA-185", "Nunavut (Keewatin Region) group",
"NA-186", "Nunavut (Hudson Bay - Manitoba Coast) group",
"NA-187", "California State Centre (Monterey / San Luis Obispo County) group",
"NA-188", "Oaxaca State group",
"NA-189", "Nayarit / Jalisco State group",
"NA-190", "El Salvador group",
"NA-191", "Guanacaste Province group",
"NA-192", "NWT (Inuvik Region) West group",
"NA-193", "Yukon Territory group",
"NA-194", "Newfoundland Province (Labrador) North group",
"NA-195", "Nunavut (Hudson Bay - Quebec Coast) Centre group",
"NA-196", "Nunavut (Belcher Islands) group",
"NA-197", "Kenai Peninsula County group",
"NA-198", "Newfoundland's Coastal Islands",
"NA-199", "St Martin's Coastal Islands",
"NA-200", "Quintana Roo State South group",
"NA-201", "Ciego de Avila / Camaguey Province South group",
"NA-202", "Colon / Veraguas North Province group",
"NA-203", "Los Santos / Herrera / Cocle Province group",
"NA-204", "Matanzas / Villa Clara / Sancti Spiritus Province group",
"NA-205", "Newfoundland Province (Labrador) Centre group",
"NA-206", "Barren Islands",
"NA-207", "Nunavut (Hudson Bay - Ontario Coast) South group",
"NA-208", "Nunavut (Kitikmeot Region) East group",
"NA-209", "Caribbean Sea Coast South group",
"NA-210", "Nome County Centre group",
"NA-211", "Oregon State group",
"NA-212", "Pacific Ocean Coast group",
"NA-213", "Alabama State group",
"NA-214", "Nome County South group",
"NA-215", "Northwest Arctic County group",
"NA-216", "Northern Alaska Peninsula West group",
"NA-217", "New Hampshire State group",
"NA-218", "Las Tunas / Holguin / Santiago de Cuba Province group",
"NA-219", "Cay Sal Bank Cays",
"NA-220", "Greenland's Coastal Islands South West",
"NA-221", "Veracruz State North group",
"NA-222", "Southern Alaska Peninsula West group",
"NA-223", "Gracias a Dios Department group",
"NA-224", "Veracruz State South group",
"NA-225", "Nunavut (Prince of Wales and Somerset Islands) group",
"NA-226", "Colima / Michoacan State group",
"NA-227", "Nunavut (Kitikmeot Region) West group",
"NA-228", "Caribbean Sea Coast North group",
"NA-229", "Nunavut (Hudson Bay - Quebec Coast) North East group",
"NA-230", "Nunavut (Ottawa Islands) group",
"NA-231", "Nunavut (Hudson Bay - Ontario Coast) North group",
"NA-232", "St Matthew Island",
"NA-233", "Delarof Islands",
"NA-234", "Islands of Four Mountains",
"NA-235", "Semidi Islands",
"NA-236", "Sanak Islands",
"NA-237", "Southern Alaska Peninsula East group",
"NA-238", "Southern Alaska Peninsula Centre group",
"NA-239", "Northern Alaska Peninsula East group",
"NA-240", "Bethel County group",
"NA-241", "Wade-Hampton County group",
"NA-242", "North Slope County West group",
"NA-243", "Greenland's Coastal Islands North East group",
"NA-244", "Marias Islands",
"NA-245", "Rocas Alijos Islands",
"NA-246", "Tamaulipas State Group",
"NA-247", "St. Maarten’s Coastal Islands",
"NA-248", "Nunavut (Devon) Island (Melville Island group)",
"OC-001", "Australia",
"OC-002", "Christmas Island",
"OC-003", "Cocos (Keeling) Islands",
"OC-004", "Lord Howe Island",
"OC-005", "Norfolk Island",
"OC-006", "Tasmania",
"OC-007", "Willis Islands",
"OC-008", "Bismarck Archipelago",
"OC-009", "Palau Islands",
"OC-010", "Pohnpei Islands",
"OC-011", "Chuuk Islands",
"OC-012", "Yap Islands",
"OC-013", "Rarotonga Island",
"OC-014", "Manihiki Atoll",
"OC-015", "Tuvalu Islands",
"OC-016", "Viti Levu and Vanua Levu group",
"OC-017", "Gilbert Islands",
"OC-018", "Banaba Island",
"OC-019", "Hawaiian Islands",
"OC-020", "Kure Atoll",
"OC-021", "Java Island",
"OC-022", "Bali Island",
"OC-023", "Johnston Atoll",
"OC-024", "Kiritimati Island (aka Christmas Island)",
"OC-025", "Admiralty Islands",
"OC-026", "Guam Island",
"OC-027", "Marquesas Islands",
"OC-028", "Ralik Chain",
"OC-029", "Ratak Chain",
"OC-030", "Midway Islands",
"OC-031", "Nauru",
"OC-032", "New Caledonia Island",
"OC-033", "Loyalty Islands",
"OC-034", "New Guinea (Papua New Guinea / Indonesia Irian Jaya)",
"OC-035", "New Hebrides",
"OC-036", "North Island",
"OC-037", "Campbell Island",
"OC-038", "Chatham Islands",
"OC-039", "Kermadec Islands",
"OC-040", "Niue Island",
"OC-041", "Ninigo group",
"OC-042", "Luzon Island",
"OC-043", "Phoenix Islands",
"OC-044", "Pitcairn Island",
"OC-045", "Tutuila Island",
"OC-046", "Windward Islands",
"OC-047", "Solomon Islands",
"OC-048", "Tokelau Islands",
"OC-049", "Tongatapu group",
"OC-050", "Rurutu and Rimatara Islands",
"OC-051", "Rapa and Marotiri Islands",
"OC-052", "Duke of Gloucester Islands",
"OC-053", "Wake Island",
"OC-054", "Wallis Islands",
"OC-055", "French Frigate Shoals",
"OC-056", "Henderson Island",
"OC-057", "Maupihaa group",
"OC-058", "D'Entrecasteaux Reefs",
"OC-059", "Kosrae Island",
"OC-060", "Rotuma Island",
"OC-062", "Pukapuka Atoll",
"OC-063", "Gambier Islands",
"OC-064", "Vava'u group",
"OC-065", "Reef Islands (aka Swallow Islands)",
"OC-066", "Tuamotu Archipelago",
"OC-067", "Leeward Islands",
"OC-068", "Snares Islands",
"OC-069", "Lihir group",
"OC-070", "Seram group",
"OC-071", "Western Australia State (North Coast) West group",
"OC-072", "Mellish Reef",
"OC-073", "Minami Torishima",
"OC-074", "Auckland Islands",
"OC-075", "Riau Islands",
"OC-076", "Sula Islands",
"OC-077", "Manua Islands",
"OC-078", "Ulithi Atoll",
"OC-079", "Belep Islands",
"OC-080", "Suwarrow Atoll (aka Suvorov Atoll)",
"OC-081", "Jarvis Island",
"OC-082", "Penrhyn Atoll (aka Tongareva Atoll)",
"OC-083", "Aitutaki group",
"OC-084", "Tabuaeran and Teraina Islands (aka Fanning and Washington Islands)",
"OC-085", "Palmyra Atoll",
"OC-086", "Northern Mariana Islands",
"OC-087", "Enewetak Atoll (aka Eniwetok Atoll)",
"OC-088", "Borneo (East Malaysia / Brunei / Indonesia Kalimantan)",
"OC-089", "Baker and Howland Islands",
"OC-090", "Calamian group",
"OC-091", "Polillo Islands",
"OC-092", "Babuyan Islands",
"OC-093", "Batan Islands",
"OC-094", "Disappointment Islands",
"OC-095", "Lau group",
"OC-096", "Kingman Reef",
"OC-097", "Samoa Islands",
"OC-098", "Pukapuka Atoll (aka Danger Islands)",
"OC-099", "Tabar Islands",
"OC-100", "Nendo Island",
"OC-101", "Feni Islands",
"OC-102", "Tanga Islands",
"OC-103", "St Matthias group",
"OC-104", "Banks Islands",
"OC-105", "Cagayan de Sulu group",
"OC-106", "Natuna Besar Islands",
"OC-107", "Lingga Islands",
"OC-108", "Anambas Islands",
"OC-109", "Natuna Selatan Islands (aka Subi Besar Islands)",
"OC-110", "Torres Islands",
"OC-111", "Shepherd Islands",
"OC-112", "Conway Reef",
"OC-113", "Actaeon group",
"OC-114", "Raivavae Island",
"OC-115", "Trobriand Islands",
"OC-116", "D'Entrecasteaux Islands",
"OC-117", "Louisiade Archipelago",
"OC-118", "Hoorn Islands",
"OC-119", "Jolo group",
"OC-120", "Cuyo Islands",
"OC-121", "Mamanuca group (aka Mamanutha)",
"OC-122", "Tambelan Islands",
"OC-123", "Niuafo'ou Island",
"OC-124", "Palmerston Atoll",
"OC-125", "Semirara Islands",
"OC-126", "Lubang Islands",
"OC-127", "Rennell Island",
"OC-128", "Palawan Island",
"OC-129", "Visayan Islands",
"OC-130", "Mindanao Island",
"OC-131", "King George Islands",
"OC-132", "East Yap group",
"OC-133", "Sabah's Coastal Islands",
"OC-134", "South Island",
"OC-135", "Solomon Islands",
"OC-136", "Victoria State Centre group",
"OC-137", "Queensland State (South Coast) South group",
"OC-138", "Queensland State (Torres Strait) group",
"OC-139", "South Australia State East Centre group",
"OC-140", "Western Australia State (N.W. Coast) West group",
"OC-141", "Northern Territory (Gulf of Carpentaria) North group",
"OC-142", "Queensland State (South Coast) Centre group",
"OC-143", "Sumatra Island",
"OC-144", "Bangka and Belitung Islands",
"OC-145", "Halmahera group",
"OC-146", "Celebes Island",
"OC-147", "Irian Jaya's Coastal Islands North",
"OC-148", "Timor Island",
"OC-149", "New Georgia Islands",
"OC-150", "Tenggara Barat Islands",
"OC-151", "Tenggara Timur Islands",
"OC-152", "Tubuai Island",
"OC-153", "Papua New Guinea's Coastal Islands South",
"OC-154", "Western Australia State (North Coast) East group",
"OC-155", "West Chuuk group",
"OC-156", "Yasawa group",
"OC-157", "Banda Islands",
"OC-158", "Florida Islands",
"OC-159", "Mangaia Island",
"OC-160", "Queensland State (South Coast) North group",
"OC-161", "Nias and Batu Islands",
"OC-162", "Shortland Islands",
"OC-163", "Vanikolo and Utupua Islands",
"OC-164", "Western Australia State (S.W. Coast) South group",
"OC-165", "Sarawak's Coastal Islands",
"OC-166", "Kalimantan's Coastal Islands East",
"OC-167", "Kapingamarangi Atoll",
"OC-168", "Russell Islands",
"OC-169", "Ha'apai Group",
"OC-170", "Western Australia State (South Coast) East Centre group",
"OC-171", "Queensland State (North Coast) South group",
"OC-172", "Queensland State (North Coast) Centre group",
"OC-173", "Northern Territory (Arafura Sea Coast) West group",
"OC-174", "Tawi Tawi group",
"OC-175", "Sarangani Islands",
"OC-176", "Chesterfield Islands",
"OC-177", "Seribu Islands",
"OC-178", "Tikopia and Anuta Islands",
"OC-179", "Duff Islands",
"OC-180", "Ngulu Atoll",
"OC-181", "Witu Islands",
"OC-182", "Ducie Island",
"OC-183", "Western Australia State (S.W. Coast) Centre group",
"OC-184", "Brunei's Coastal Islands",
"OC-185", "Northern Territory (Arafura Sea Coast) East group",
"OC-186", "Karimunjawa Islands",
"OC-187", "Queensland State (North Coast) North group",
"OC-188", "Pangutaran group",
"OC-189", "Ringgold Islands",
"OC-190", "Rose Atoll",
"OC-191", "Niuatoputapu Island",
"OC-192", "Ontong Java Atoll",
"OC-193", "Western Australia State (South Coast) West Centre group",
"OC-194", "New South Wales State North group",
"OC-195", "Furneaux Group",
"OC-196", "Victoria State East group",
"OC-197", "Bawean Island",
"OC-198", "Northern Territory (Gulf of Carpentaria) South group",
"OC-199", "Western Australia State (N.W. Coast) Centre group",
"OC-200", "Swains Island",
"OC-201", "North Island's Coastal Islands",
"OC-202", "Calagua Islands",
"OC-203", "South Island's Coastal Islands",
"OC-204", "Enggano Island",
"OC-205", "Woodlark group (aka Muyua group)",
"OC-206", "Western Australia State (S.W. Coast) North group",
"OC-207", "Cagayan Islands",
"OC-208", "Banggai Islands",
"OC-209", "Talaud Islands",
"OC-210", "Sangihe Islands",
"OC-211", "Houtman Abrolhos",
"OC-212", "New South Wales State Centre group",
"OC-213", "Togian Islands",
"OC-214", "Western Australia State (N.W. Coast) East group",
"OC-215", "Mentawai Islands",
"OC-216", "Ashmore and Cartier Islands",
"OC-217", "Kangean Islands",
"OC-218", "Matthew and Hunter Islands",
"OC-219", "Tukangbesi Islands",
"OC-220", "South Australia State West group",
"OC-221", "Kai Islands",
"OC-222", "Obi Islands",
"OC-223", "New South Wales State South group",
"OC-224", "Tanimbar Islands",
"OC-225", "Turtle Islands",
"OC-226", "Mwokil and Pingelap Atolls (aka Mokil and Pingelap Atolls)",
"OC-227", "Queensland State (Gulf of Carpentaria) South group",
"OC-228", "South Australia State East group",
"OC-229", "Northern Territory (Arafura Sea Coast) Centre group",
"OC-230", "Rowley Shoals",
"OC-231", "Green Islands",
"OC-232", "East Timor's Coastal Islands",
"OC-233", "Tasmania's Coastal Islands",
"OC-234", "Browse Island",
"OC-235", "Mindanao's Coastal Islands",
"OC-236", "Celebes's Coastal Islands",
"OC-237", "Java's Coastal Islands",
"OC-238", "Pukarua and Reao Atolls",
"OC-239", "Irian Jaya's Coastal Islands West",
"OC-240", "Papua New Guinea's Coastal Islands East",
"OC-241", "Timor Barat's Coastal Islands",
"OC-242", "Bonerate and Taka' Bonerate Islands",
"OC-243", "Western Australia State (South Coast) West group",
"OC-244", "Luzon's Coastal Islands",
"OC-245", "Sumatra's Coastal Islands North",
"OC-246", "Leti and Sermata Islands",
"OC-247", "Sabalana and Tengah Islands",
"OC-248", "South Palau group",
"OC-249", "Aru Islands",
"OC-250", "Masalembu Islands",
"OC-251", "Victoria State West group",
"OC-252", "Kalimantan's Coastal Islands West",
"OC-253", "Hall Islands",
"OC-254", "Mortlock Islands",
"OC-255", "Queensland State (Gulf of Carpentaria) North group",
"OC-256", "Kilinailau Islands (aka Tulun Islands)",
"OC-257", "Nuguria Islands",
"OC-258", "Papua New Guinea's Coastal Islands North",
"OC-259", "Nukuoro Atoll",
"OC-260", "Oroluk Atoll",
"OC-261", "South Australia State West Centre group",
"OC-262", "Sumatra's Coastal Islands South",
"OC-263", "Taongi Atoll (aka Bokaak Atoll)",
"OC-264", "Maria Island",
"OC-265", "Coral Sea Islands Territory South",
"OC-266", "Western Australia State (North Coast) Centre group",
"OC-267", "Coral Sea Islands Territory North",
"OC-268", "Laut Kecil Islands",
"OC-269", "Karimata Islands",
"OC-270", "Simeulue and Banyak Islands",
"OC-271", "Babar Islands",
"OC-272", "Barat Daya Islands",
"OC-273", "Gorong and Watubela Islands",
"OC-274", "Lucipara and Penyu Islands",
"OC-276", "Mapia Islands",
"OC-277", "Sorol Atoll",
"OC-278", "Ujelang Atoll",
"OC-279", "Malden Island",
"OC-280", "Starbuck Island",
"OC-281", "Caroline Island (aka Millennium Island)",
"OC-282", "Vostok and Flint Islands",
"OC-283", "Tauu Islands (aka Takuu Islands)",
"OC-284", "Nukumanu Islands",
"OC-285", "Stewart Islands (aka Sikaiana Atoll)",
"OC-286", "Antipodes Islands",
"OC-287", "Bounty Islands",
"OC-288", "Nihoa Island",
"OC-289", "Necker Island",
"OC-290", "Gardner Pinnacles",
"OC-291", "Laysan Island",
"OC-292", "Lisianski Island",
"OC-293", "Pearl and Hermes Atoll",
"OC-294", "Sandy Island",
"OC-295", "Sebatik Island",
"OC-296", "Tobi and Helen",
"SA-001", "Easter Island",
"SA-002", "Falkland Islands",
"SA-003", "Fernando De Noronha Archipelago",
"SA-004", "Galapagos",
"SA-005", "Juan Fernandez Archipelago",
"SA-006", "Bonaire & Curacao",
"SA-007", "Malpelo",
"SA-008", "Tierra del Fuego",
"SA-009", "Tobago",
"SA-010", "Trindade & Martim Vaz",
"SA-011", "Trinidad",
"SA-012", "Nueva Esparta State group",
"SA-013", "San Felix & San Ambrosio (aka Los Desventurados)",
"SA-014", "St.Peter & St.Paul Rocks",
"SA-015", "Los Monjes Archipelago",
"SA-016", "Maranhao State Centre group",
"SA-017", "Cauca / Valle Division group",
"SA-018", "Los Lagos Region South group",
"SA-019", "Abrolhos Archipelago",
"SA-020", "French Guiana group",
"SA-021", "Buenos Aires (Bahia Blanca) Province group",
"SA-022", "Buenos Aires (Bahia Anegada) Province group",
"SA-023", "Bahia State North group",
"SA-024", "Sao Paulo State West group",
"SA-025", "Piaui State group",
"SA-026", "Santa Catarina State Centre group",
"SA-027", "Santa Catarina State North group",
"SA-028", "Sao Paulo State East group",
"SA-029", "Rio De Janeiro State West group",
"SA-030", "San Jose / Montevideo / Canelones Dept group",
"SA-031", "Wollaston & Hermite Islands",
"SA-032", "Ultima Esperanza Province North group",
"SA-033", "Manabi Province group",
"SA-034", "Guayas / El Oro Province group",
"SA-035", "Los Roques Islands",
"SA-036", "Aruba",
"SA-037", "Blanquilla group",
"SA-038", "Atol Das Rocas",
"SA-039", "Maldonado / Rocha Department group",
"SA-040", "Bolivar / Atlantico Division group",
"SA-041", "Maranhao State West group",
"SA-042", "Para State West group",
"SA-043", "Aisen Region North group",
"SA-044", "La Tortuga",
"SA-045", "Amapa State group",
"SA-046", "Pernambuco State group",
"SA-047", "Parana State group",
"SA-048", "Sucre State East group",
"SA-049", "Tierra del Fuego's Coastal Islands",
"SA-050", "Antartica Chilena Province group",
"SA-051", "Las Aves Islands",
"SA-052", "Lima Department group",
"SA-053", "Aisen Region South group",
"SA-054", "Orchila Island",
"SA-055", "Buenos Aires (Delta Del Parana) Prov group",
"SA-056", "Esmeraldas Province group",
"SA-057", "Colonia Department group",
"SA-058", "Carabobo / Aragua / DF /Miranda State group",
"SA-059", "Los Testigos group",
"SA-060", "Para State East group",
"SA-061", "La Araucania Reg / Los Lagos Reg North group",
"SA-062", "Bahia State South group",
"SA-063", "Monagas / Delta Amacuro State group",
"SA-064", "Aisen Region Centre group",
"SA-065", "Chubut Province South group",
"SA-066", "Zulia State group",
"SA-067", "Espirito Santo State group",
"SA-068", "Guyana group",
"SA-069", "Antofagasta Region group",
"SA-070", "Bio-Bio Region group",
"SA-071", "Sao Paulo State Centre group",
"SA-072", "Maranhao State East group",
"SA-073", "Ica Department group",
"SA-074", "Ancash Department group",
"SA-075", "La Libertad Department group",
"SA-076", "Tumbes / Piura / Lambayeque Department group",
"SA-077", "Rio De Janeiro State East group",
"SA-078", "Cordoba / Sucre Division group",
"SA-079", "Rio De Janeiro State Centre group",
"SA-080", "Bahia State Centre group",
"SA-081", "Narino Division group",
"SA-082", "Magdalena / Guajira Division group",
"SA-083", "Salas y Gomez Island",
"SA-084", "Choco Division South group",
"SA-085", "Atacama Region group",
"SA-086", "Coquimbo / Valparaiso Region group",
"SA-087", "Santa Cruz Province North group",
"SA-088", "Santa Catarina State South group",
"SA-089", "Falcon State group",
"SA-090", "Anzoategui State / Sucre State west group",
"SA-091", "Magallanes Province group",
"SA-092", "Suriname group",
"SA-093", "Choco Division North / Antioquia Division group",
"SA-094", "Ultima Esperanza Province South group",
"SA-095", "O'Higgins / Maule region group",
"SA-096", "Chubut Province North group",
"SA-097", "Diego Ramirez Islands",
"SA-098", "Arequipa / Moquegua / Tacna Department group",
"SA-099", "Curacao",
"SA-100", "Arica and Parinacota/Tarapaca Region group"
